,RLG,BLG,PD,BL,VD,HD,LD,ID,ASD,MD,KD,CD,RD,HDB,FD,IUF,EP,DD,Population,Financial_Independence,Financial_often,PD_rate,BL_rate,VD_rate,HD_rate,LD_rate,ID_rate,ASD_rate,MD_rate,KD_rate,CD_rate,RD_rate,HDB_rate,FD_rate,IUF_rate,EP_rate,DD_rate,DD_ASD_rate
14,서울특별시,양천구,7981,1756,1715,2672,165,1153,261,616,683,46,94,123,12,130,49,1414,462285,24.5170657286,48.0348866389,0.01726424175562694,0.0037985225564316385,0.003709832678975091,0.005779984208875477,0.0003569226775690321,0.0024941324074975392,0.0005645867808819235,0.0013325113295910532,0.0014774435683615086,9.950571617076046e-05,0.00020333776782720616,0.00026606963236964213,2.5958012914111425e-05,0.00028121180656954045,0.00010599521939928832,0.0030587191883794627,0.18458274398868457
15,서울특별시,강서구,12685,2982,2834,4116,245,2025,355,1589,1292,66,169,158,36,182,120,2380,598273,19.7144235239,38.1697054348,0.02120269509070274,0.004984346610995315,0.004736967905955977,0.006879802364472406,0.0004095120455043099,0.003384742416923378,0.0005933745965470613,0.0026559781236993813,0.0021595492358839528,0.00011031753062565083,0.00028247973751113623,0.00026409348240686106,6.017319852308227e-05,0.00030420894808891595,0.00020057732841027425,0.003978117013470439,0.14915966386554622
16,서울특별시,구로구,8333,1751,1920,2681,152,1205,275,635,729,56,95,95,27,136,51,1480,439371,21.8390495161,45.9774612903,0.018965748763573383,0.003985242539903635,0.004369883310459725,0.006101904768407564,0.00034594909541139495,0.0027425569734916507,0.000625894744987721,0.0014452478656989196,0.001659190069440177,0.00012745492988840867,0.00021621818463212183,0.00021621818463212183,6.145148405333988e-05,0.0003095334011575639,0.00011607502543408645,0.0033684517184793717,0.1858108108108108
17,서울특별시,금천구,5279,1094,1167,1683,92,767,113,438,446,45,59,50,16,85,39,880,251820,25.3131085946,49.4290027509,0.020963386545945515,0.004344372964816138,0.00463426256850131,0.006683345246604718,0.0003653403224525455,0.0030458263839250256,0.0004487332221428004,0.0017393376221110316,0.0017711063458025573,0.00017869907076483203,0.00023429433722500198,0.0001985545230720356,6.353744738305138e-05,0.0003375426892224605,0.00015487252799618775,0.003494559606067826,0.12840909090909092
18,서울특별시,영등포구,6583,1474,1574,2204,124,839,194,447,646,32,61,76,19,106,32,1033,400986,35.6880780053,51.0448370963,0.01641703201608036,0.0036759388108313007,0.003925324076152285,0.005496451247674483,0.0003092377289980199,0.002092342376043054,0.00048380741472270854,0.0011147521359847975,0.0016110288139735553,7.98032849027148e-05,0.0001521250118458001,0.00018953280164394766,4.7383200410986916e-05,0.0002643483812402428,7.98032849027148e-05,0.0025761497907657626,0.18780251694094868
19,서울특별시,동작구,6447,1556,1569,2330,141,902,229,521,654,42,64,113,10,113,44,1131,408912,25.958147749,48.7280501838,0.015766228430566968,0.0038052197049731973,0.0038370113863129473,0.005698047501662949,0.00034481746683883086,0.002205853582188833,0.0005600226943694486,0.001274112767539226,0.0015993661227843643,0.00010271158586688578,0.00015651289274954024,0.000276343076260907,2.4455139492115662e-05,0.000276343076260907,0.00010760261376530891,0.0027658762765582815,0.20247568523430592
20,서울특별시,관악구,9173,1983,2296,2868,166,1325,235,851,937,54,97,104,14,137,59,1560,517334,18.7038054299,43.5700348416,0.017731291583387133,0.003833113617121627,0.00443813861064612,0.005543807288908133,0.0003208758751599547,0.002561208039680361,0.00045425199194330936,0.0016449721069947076,0.0018112090061739611,0.00010438130878697321,0.00018749975837660003,0.00020103066877491136,2.7061820796622686e-05,0.00026481924636695056,0.00011404624478576703,0.0030154600316236705,0.15064102564102563
21,서울특별시,서초구,4371,1217,1214,1437,83,743,282,365,527,31,58,121,2,79,26,1025,435107,53.3285320388,58.8999642758,0.010045804825020052,0.002797013148489912,0.0027901182927417855,0.0033026359033525086,0.0001907576756981616,0.0017076259402859526,0.0006481164403238744,0.0008388741160220359,0.0012111963264208575,7.124684273063867e-05,0.00013330054446377557,0.00027809251517442837,4.596570498750882e-06,0.00018156453470065983,5.9755416483761466e-05,0.002355742380609827,0.2751219512195122
22,서울특별시,강남구,6304,1798,1582,1891,128,1029,573,845,826,52,112,139,20,83,57,1602,550209,54.4281554611,55.8395957694,0.011457464345366942,0.0032678491264228685,0.0028752710333709553,0.0034368758053757754,0.0002326388699566892,0.0018701984155111966,0.0010414224412904915,0.001535780039948456,0.0015012477076892599,9.450954091990498e-05,0.00020355901121210304,0.0002526312728435922,3.6349823430732685e-05,0.00015085176723754064,0.00010359699677758815,0.002911620856801688,0.35767790262172283
23,서울특별시,송파구,8861,2223,2088,2537,166,1527,630,653,1017,59,124,181,12,145,57,2157,682741,38.4321893216,47.2338387087,0.012978567275145333,0.00325599312184269,0.0030582607460222836,0.0037159039811583017,0.0002431375880458329,0.0022365728731685956,0.000922751087161896,0.0009564388252646318,0.0014895838978470606,8.641637165484422e-05,0.0001816208489017065,0.00026510785202587807,1.7576211184036112e-05,0.0002123792184737697,8.348700312417154e-05,0.0031593239603304912,0.29207232267037553
24,서울특별시,강동구,7901,1963,1818,2251,184,1340,401,594,779,44,90,120,19,108,57,1741,440390,22.2353666311,40.7743184313,0.017940916006267172,0.0044574127477917305,0.004128159131678739,0.0051113785508299465,0.00041781148527441584,0.003042757555802811,0.0009105565521469606,0.0013488044687663208,0.0017688866686346194,9.991144213083857e-05,0.00020436431344944255,0.0002724857512659234,4.3143577283771204e-05,0.000245237176139331,0.0001294307318513136,0.003953314107949772,0.23032739804709937
25,부산광역시,중구,1173,306,331,358,24,120,21,110,139,10,11,11,3,17,7,141,43617,23.6,51.3,0.026893183850333586,0.0070156131783478915,0.007588784189650824,0.008207808881857992,0.000550244170850815,0.0027512208542540754,0.00048146364949446316,0.0025219524497329024,0.003186830822844304,0.00022926840452117293,0.0002521952449732902,0.0002521952449732902,6.878052135635188e-05,0.000389756287685994,0.00016048788316482104,0.0032326845037485385,0.14893617021276595
